x,y,z,inclinacion,azimuth,stage,medida_daq
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0590167
-0.6,0.4,0.8,0,0,background,0.0583586
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0547393
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0583586
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0590167
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0553974
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0583586
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0553974
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0557264
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0557264
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0586877
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0583586
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0557264
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0593457
-0.6,0.4,0.8,0,0,background,0.0590167
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0557264
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0557264
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0557264
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0553974
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0583586
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0593457
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0553974
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0553974
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0586877
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0583586
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0586877
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0553974
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0557264
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0557264
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0583586
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0586877
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0583586
-0.6,0.4,0.8,0,0,background,0.0586877
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0557264
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0590167
-0.6,0.4,0.8,0,0,background,0.0593457
-0.6,0.4,0.8,0,0,background,0.0583586
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0553974
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0583586
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0586877
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0557264
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0553974
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0547393
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0583586
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0586877
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0557264
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0590167
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0600038
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0583586
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0553974
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0557264
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0557264
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0557264
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0590167
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0557264
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0583586
-0.6,0.4,0.8,0,0,background,0.0557264
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0590167
-0.6,0.4,0.8,0,0,background,0.0583586
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0557264
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0583586
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0593457
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0557264
-0.6,0.4,0.8,0,0,background,0.0547393
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0557264
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0590167
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0590167
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0590167
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0560554
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0590167
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0586877
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0590167
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0550684
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0583586
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0593457
-0.6,0.4,0.8,0,0,background,0.0573716
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0557264
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0580296
-0.6,0.4,0.8,0,0,background,0.0567135
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0547393
-0.6,0.4,0.8,0,0,background,0.0577006
-0.6,0.4,0.8,0,0,background,0.0563845
-0.6,0.4,0.8,0,0,background,0.0570425
-0.6,0.4,0.8,0,0,background,0.0570425
